Company Name,Date of Visit,Role,Category,CTC,Eligibility Percentage,Student Applied,Student Selected
Onward Technologies Ltd,27-06-2024,RND Design Engineer,Level 4 - Core (Placement),3.50 LPA,70%,3,2
OpeninApp,04-10-2023,AI Engineer - Intern,Level 4 - Dream (ILP),9.00 LPA,60%,2588,1
OpenText,02-08-2023,Associate Software Engineer/Associate Quality Assurance Engineer,Level 7 - Regular Internship (Placement),10.00 LPA,70%,2016,236
OptimEyes. AI,25-02-2023,Fullstack,FrontEnd,AI/ML interns,60%,Not Mentioned,60
Oracle,31-07-2023,Associate Application Developer,Level 2 - Marquee (Placement),30.50 LPA,70%,968,6
Orient Electric,06-12-2023,Graduate Engineer Trainee (GET),Level 4 - Core (Placement),9.00 LPA,80%,293,2
Orion Governance,27-02-2024,GET,Level 6 - IT / Non- Engineering,4.75 LPA,60%,661,1
pando,16-08-2023,Software Development Engineer,Level 4 - Dream (ILP),8.12 LPA,65%,532,4
PandoCorp,28-05-2023,INTERNSHIP,Level 4 - Dream (ILP),8.00 LPA,60%,1638,6
Parul University,22-03-2024,Assistant Professor,Level 6 - IT / Non- Engineering (Placement),7.20 LPA,60%,2,1
PayPal,10-01-2024,Software Engineer / Data Analyst | PPO,Level 2 - Marquee (Placement),34.40 LPA,60%,2,2
PCBL (TN) Limited,08-12-2023,GET,Level 4 - Core (Placement),6.00 LPA,75%,61,2
PD TECHNOLOGY SERVICE,19-03-2024,Electrical and Electronics Engineering / Electronics and Communication Engineering,Level 7 - Regular Internship,-,60%,37,1
Peninsular Research Operation,11-12-2023,Junior Software Engineer,Level 4 - Dream (Placement),5.00 LPA,60%,1121,2
PharmaAce,20-12-2023,Trainee Analyst,Level 4 - Dream (Placement),6.00 LPA,60%,1118,3
Philips,14-08-2023,GET- Intern,Level 3 - Super Dream (ILP),14.50 LPA,60%,3152,5
Philips,10-06-2023,Intern (M.Tech),Level 3 - Super Dream (ILP),15.00 LPA,60%,24,1
Pickyourtrail,26-02-2024,Sales Trainee,Level 6 - IT / Non- Engineering,4.30 LPA,65%,210,3
PingSafe,28-07-2023,SDE 1,Level 3 - Super Dream (ILP),17.50 LPA,60%,3145,3
Play Simple Games,09-03-2023,Associate Business Analyst,Level 3 - Super Dream (ILP),14.00 LPA,65%,1455,0
Polycab India,27-02-2024,Graduate Engineer Trainee,Level 4 - Core (Placement),0.00 LPA,20%,000.00 per Annum,60
Porter,08-01-2024,SDE 1 - Intern / Analytics Intern,Level 3 - Super Dream (ILP),15.50 LPA,60%,1633,3
Precisely Software & Data India Private Limited,25-10-2023,Associate Support Engineer,Associate Software Engineer,Associate Technical Consultant,60%,8.5LPA,85
PreludeSys India Ltd,02-03-2024,Trainee Software Engineer / Trainee Test Engineer,Level 6 - IT / Non- Engineering (Placement),6.00 LPA,60%,1024,1
Prism Johnson Ltd.,03-02-2024,GET/PGET,Level 4 - Core (ILP),4.00 LPA,60%,56,5
Prospira India Automotive Products Pvt Ltd,01-03-2024,GET,Level 4 - Core (Placement),3.50 LPA,60%,32,2
PwC Acceleration Center,08-08-2023,Associate (Cyber Security for CSE),Level 4 - Dream (Placement),6.00 LPA,60%,115,0
PwC Acceleration Center,08-08-2023,Associate (Cyber Security),Level 4 - Dream (ILP),6.00 LPA,60%,216,3
Quantiphi,18-01-2024,Business Analyst,Machine Learning Engineer,Framework Engineer,60%,8 LPA,70
Rajsriya Automotive Industries,18-11-2023,MANAGEMENT TRAINEES,Level 4 - Core (ILP),4.50 LPA,80%,28,2
Rakuten India Enterprise Pvt Ltd,31-07-2023,Associate Software Engineer - Intern,Level 7 - Regular Internship,0 LPA,60%,7,0
RAPTEE ENERGY PVT. LTD,12-12-2023,Embedded Software Engineer-Intern / Hardware Development Engineer-Intern,Level 7 - Regular Internship (ILP),0.00 LPA,60%,7,12th
Rapyuta Robotics,26-03-2024,Application Support Specialist / Robotics Software Engineer,Level 4 - Dream (ILP),9.50 LPA,60%,1303,1
Razorpay,19-03-2024,Business Development Executive,Level 7 - Summer Internship (ILP),75.00 LPA,60%,412,0
Razorpay,19-03-2024,Software Development Engineer Intern,Level 7 - Summer Internship,0.01 LPA,60%,412,1
RDC Concrete (India) Pvt Ltd,02-02-2024,GET,Level 4 - Core (Placement),3.60 LPA,60%,16,3
Reliance Industries Limited,08-12-2023,Summer Internship Programme | GET,Level 4 - Dream (Placement),8.88 LPA,60%,581,7
Renault Nissan Technology and Business Center India,23-08-2023,GET,Level 7 - Regular Internship (Placement),5.62 LPA,60%,60,1306
Resonous Technologies Pvt. Ltd.,29-01-2024,Engineer - Trainee,Level 6 - IT / Non- Engineering (ILP),0.43 LPA,60%,127,2
Ribbon Communications,11-04-2024,GET,Level 4 - Dream (ILP),8.00 LPA,60%,1397,1
Richpanel,04-08-2023,Full Stack Developer,Level 2 - Marquee (ILP),20.00 LPA,75%,210,0
Rinex Technologies Pvt. Ltd,27-03-2024,Inside Sales Strategist,Level 6 - IT / Non- Engineering (Placement),5.20 LPA,60%,289,20
Roche,16-08-2023,Associate,Level 4 - Dream (Placement),9.45 LPA,70%,1831,3
Rockman Industries Ltd,01-12-2023,Graduate Engineer Trainee,Level 4 - Core (Placement),4.50 LPA,60%,139,2
ROLON SEALS,02-02-2024,GET,Level 4 - Core (Placement),3.60 LPA,60%,16,3
Royal Enfield,21-11-2023,Graduate Engineer Trainees(GET),Level 4 - Core (Placement),5.34 LPA,70%,538,3
Sabre,09-09-2023,Associate Business & Analytics Engineer,Level 3 - Super Dream (ILP),8.14 LPA,60%,60,3095
Sabre,09-09-2023,Software Engineer I (Development),Level 3 - Super Dream (ILP),16.84 LPA,60%,2913,2
Sabre,17-11-2023,Technical Product Support Specialist,Level 4 - Dream (ILP),8.86 LPA,60%,1693,3
Sahaj Software Solutions,01-09-2023,Solutions Consultant (Full Stack Developer),Level 3 - Super Dream (ILP),13.00 LPA,60%,2821,0
SalaryBox,27-12-2023,Business Consultant,Level 6 - IT / Non- Engineering,6.60 LPA,60%,49,2
SAP Labs India,18-06-2023,Dev/Support/DevOps,Level 3 - Super Dream (ILP),10.00 LPA,60%,9,0
Scaler,17-02-2023,SDE Intern,Level 2 - Marquee (ILP),23.00 LPA,60%,2144,1
Scaler Academy,25-11-2023,Business Development Trainee,Level 6 - IT / Non- Engineering,7.00 LPA,60%,2490,10
Schneider Electric,23-08-2023,GET/MET,Level 3 - Super Dream (ILP),12.00 LPA,60%,65,3103
Scientific Games,01-02-2024,Intern,Level 4 - Dream (ILP),6.00 LPA,70%,752,1
ServiceNow,12-04-2024,Associate Software Engineer,Level 2 - Marquee,42.60 LPA,60%,50,1
ServiceNow,05-10-2023,Intern- Tech Support Engineer,Level 3 - Super Dream (ILP),17.65 LPA,60%,266,8
SHELL,28-11-2023,Data Science Analyst,Level 4 - Dream (ILP),7.96 LPA,60%,1663,1
Shipsy,27-03-2024,Growth Analyst,Level 3 - Super Dream (ILP),16.00 LPA,60%,1559,4
Shree Cement,18-01-2024,GET(Trainee),Level 4 - Core (Placement),4.20 LPA,60%,88,2
Siemens Energy,09-12-2023,Intern,Level 4 - Core (ILP),5.00 LPA,60%,63,2
Siemens Limited,15-09-2023,GET,Level 4 - Dream (Placement),5.00 LPA,70%,1419,31
Siemens Limited,09-09-2023,Intern,Level 4 - Dream (ILP),5.00 LPA,60%,2416,6
Simple Energy,01-03-2024,Embedded Firmware Engineer / Hardware Engineer,Level 3 - Super Dream (ILP),10.00 LPA,60%,58,5
Societe Generale,25-08-2023,SOFTWARE ENGINEER,Level 4 - Dream (Placement),5.43 LPA,60%,2469,14
Societe Generale,25-08-2023,SOFTWARE ENGINEER,Level 4 - Dream (ILP),5.43 LPA,60%,2469,14
Sony India Software Centre Limited,08-01-2024,GET,Level 4 - Dream (ILP),7.00 LPA,60%,65,2093
Sophos Technologies Pvt Ltd,31-08-2023,MDR (Managed Detection and Response Team),Level 4 - Core (ILP),8.40 LPA,70%,150,6
S&P Global,08-11-2023,Winter Intern,Level 4 - Dream (ILP),9.00 LPA,70%,856,5
SPIC LIMITED,10-01-2024,Assistant Manager,Level 4 - Core (Placement),4.80 LPA,60%,268,1
SquadCast,15-06-2023,Software Development Intern,Level 2 - Marquee (ILP),20.04 LPA,60%,1771,1
Standard Chartered Global Business Services Private Limited,04-09-2023,Development Engineer / Techno Banker,Level 4 - Dream (Placement),9.25 LPA,70%,2890,2
State Street Corporation,13-09-2023,Graduate Hiring : Internship Program,Level 4 - Dream (ILP),8.60 LPA,70%,2123,9
Stellantis,07-10-2023,GET & PGET,Level 4 - Dream (Placement),6.83 LPA,70%,2046,2
Strides Pharma,25-10-2023,Trainee,Level 4 - Core (Placement),0.00 LPA,00%,000.00 per Annum,60
Stryker India Pvt Ltd.,22-03-2023,Intern,Level 3 - Super Dream (ILP),50.00 LPA,60%,4,1
Subros Lmited,18-04-2024,Engineer Trainee,Level 4 - Core (Placement),6.00 LPA,60%,72,5
Sun Life Global Solutions,26-10-2023,Graduate Engineer Trainees,Level 4 - Dream (Placement),7.25 LPA,60%,2058,8
Sutherland,01-04-2024,consultant,Level 6 - IT / Non- Engineering (Placement),3.00 LPA,60%,255,9
Swym Corporation,24-07-2023,Technical Support Engineer / Associate Software Engineer,Level 3 - Super Dream (Placement),15.50 LPA,60%,2778,2
Sybyl Limited,05-03-2024,Junior Data Scientist,Level 1 - International,41.46 LPA,60%,230,1
Synaptics,14-04-2024,Software engineer,Level 3 - Super Dream,10.00 LPA,60%,42,1
Syrma SGS,02-04-2024,GET,Level 4 - Core (Placement),5.00 LPA,75%,261,3
TA DIGITAL,18-10-2023,Trainee Software Engineer,Level 4 - Dream (ILP),6.00 LPA,70%,910,24
Tata Advanced Systems Limited,16-12-2023,GET,Level 4 - Core (Placement),5.00 LPA,60%,134,2
Tata Communications Ltd.,27-10-2023,Non - Software,Level 4 - Dream (Placement),5.25 LPA,65%,1661,29
Tata Consultancy Services,08-01-2024,GET/PGET - NQT,Level 5 - Day 1/ Day2,3.60 LPA,60%,5226,338
Tata Consultancy Services,08-01-2024,GET/PGET - NQT (Digital & Prime),Level 4 - Dream (Placement),7.00 LPA,60%,94,94
TATA Electronics,28-12-2023,GET,Level 4 - Core (ILP),0.00 LPA,00%,000.00 per Annum,60
Tata Motors,13-01-2023,Internship,Level 4 - Dream (ILP),0 LPA,60%,33,7
Tata Motors,18-10-2023,GET / PGET,Level 3 - Super Dream (Placement),10.50 LPA,60%,60,260
Tata Power Limited,13-12-2023,GET,Level 4 - Dream (Placement),6.64 LPA,60%,1414,1
TATA Technologies,19-09-2023,GET,Level 4 - Dream (Placement),7.50 LPA,60%,2643,18
Tata Technologies ER&D,06-01-2024,GET - ER&D Event,Level 4 - Core (Placement),7.00 LPA,60%,430,1
Tech Mahindra,19-01-2024,GET,Level 6 - IT / Non- Engineering,3.25 LPA,70%,627,3
Temenos,09-01-2024,Development or Testing,Level 4 - Dream (ILP),6.10 LPA,80%,761,10
Texas Instruments India Pvt. Ltd.,05-09-2023,Systems Administrator,Level 3 - Super Dream (ILP),16.35 LPA,60%,3013,2
Thinklance edutech,03-01-2024,Business Development Executive,Level 6 - IT / Non- Engineering (Placement),5.67 LPA,60%,581,1
Tiger Analytics,10-11-2023,Trainee - Analyst,Level 4 - Dream (Placement),8.50 LPA,70%,1947,15
Torrent Gas Private Limited,20-12-2023,GET,Level 4 - Core (Placement),4.25 LPA,60%,74,6
TPI Composites,17-05-2024,Graduate Engineer Trainee,Level 4 - Core (Placement),4.50 LPA,60%,1036,1
Tredence Analytics Solutions Pvt. Ltd.,06-07-2023,ANALYST,Level 3 - Super Dream (Placement),10.00 LPA,80%,1408,13
Tredence Analytics Solutions Pvt. Ltd.,24-06-2023,Analyst (Associate Data Scientist),Level 3 - Super Dream (Placement),12.00 LPA,70%,2521,11
TresVista,03-11-2023,Analyst – Data Intelligence Group (DIG),Level 4 - Dream (Placement),8.74 LPA,60%,2851,1
Trianz,04-12-2023,Software Engineer in Quality / DevOps/ Data Science /Cloud / Security/ Product,Level 6 - IT / Non- Engineering (Placement),4.25 LPA,60%,1196,23
Trilogy Innovations,10-10-2023,SDE Intern,Level 7 - Summer Internship,36.50 LPA,60%,60,1966
Tube Investments - Murugappa Group,13-12-2023,Project Engineer,Level 4 - Dream (ILP),4.50 LPA,60%,898,1
Turing,04-04-2024,DATA SCIENTIST / SOFTWARE ENGINEERING,Level 4 - Dream (Placement),7.00 LPA,60%,294,1
Udemy,22-04-2024,Software Engineer Intern,Level 7 - Regular Internship,20.00 LPA,70%,261,3
UiPath,22-08-2023,Product Support Intern,Level 3 - Super Dream (ILP),17.00 LPA,70%,2039,1
Unacademy,18-10-2023,Educator,Level 6 - IT / Non- Engineering,8.00 LPA,60%,1763,2
Unisys,24-08-2023,Intern - Automation Hub,Level 4 - Dream (ILP),6.00 LPA,60%,373,2
UNO Minda,15-12-2023,GET,Level 4 - Core (Placement),4.81 LPA,60%,188,5
unschool,12-12-2023,Buisness Development Executive,Level 6 - IT / Non- Engineering,5.30 LPA,60%,591,6
UST,10-10-2023,GET,Level 6 - IT / Non- Engineering,4.25 LPA,60%,1633,1
Valeo,13-10-2023,INTERN,Level 7 - Regular Internship,NIL,75%,154,2
Valeo,15-09-2023,INTERNSHIP,Level 7 - Regular Internship,NIL,70%,134,2
Valeo India Pvt Ltd,26-06-2023,Intern,Level 4 - Core (ILP),4.20 LPA,60%,60,293
Value Creed,17-10-2023,Associate Technical Consultant,Level 4 - Dream (Placement),8.50 LPA,60%,2441,0
ValueLabs,20-11-2023,Technical Consultant,Level 3 - Super Dream (ILP),16.00 LPA,85%,582,3
Varroc Group,26-10-2023,GET,Level 3 - Super Dream (Placement),11.50 LPA,60%,1,1
VA Tech Wabag,08-01-2024,Management Trainee,Level 4 - Core (ILP),5.43 LPA,65%,8,3
VComply Technologies,05-09-2023,Software Engineer,Level 3 - Super Dream (ILP),11.00 LPA,65%,2393,3
Verizon,09-09-2023,SOFTWARE DEVELOPMENT ENGINEER,Level 4 - Dream (Placement),8.32 LPA,70%,2118,3
Vikram Solar Ltd,08-12-2023,Graduate Engineer Trainee/Post-Graduate Engineer Trainee,Level 4 - Core (Placement),7.50 LPA,75%,324,6
Visteon Corporation,05-10-2023,System Validation Engineer,Level 4 - Dream (ILP),7.00 LPA,70%,1752,3
Vivriti Capital,09-03-2023,Summer Intern,Level 7 - Summer Internship,0 LPA,60%,60,1651
Volante Technologies,16-09-2023,JAVA DEVELOPER,Level 4 - Dream (ILP),6.00 LPA,60%,950,0
Volvo,04-03-2023,INTERN,Level 4 - Dream (ILP),0 LPA,65%,32,1
WellsFargo,07-09-2023,Program Associate (FTE),Level 2 - Marquee (ILP),24.00 LPA,75%,2484,13
WSP,05-01-2024,Graduate Engineer- Electrical / Graduate Engineer- Water / Graduate Environment Consultant,Level 4 - Core (Placement),6.50 LPA,70%,1,1
XCMG,02-02-2024,Graduate Engineer Trainee,Level 4 - Core (Placement),0.00 LPA,50%,000.00 per Annum,70
Xperi INC,07-07-2023,Intern - Software Engineer,Level 3 - Super Dream (ILP),14.00 LPA,80%,505,1
Yamaha Motors India,04-09-2024,GET,Level 4 - Core (Placement),7.00 LPA,65%,17,6
Yamaha Motors India,05-01-2024,GET,Level 4 - Dream (Placement),7.00 LPA,60%,84,3
Yubi,08-04-2024,Delivery engineer,Level 4 - Core (ILP),8.00 LPA,60%,600,3
Yubi,27-12-2023,Software Engineer,Level 3 - Super Dream (ILP),12.72 LPA,60%,2121,6
ZF Group,08-09-2023,GET,Level 4 - Core (Placement),9.25 LPA,70%,19,3
ZF Group,05-09-2023,GET,Level 4 - Core (ILP),6.50 LPA,70%,19,3
ZF India Technology Center,14-11-2023,GET/ PGET,Level 4 - Dream (Placement),7.25 LPA,70%,2083,4
Zifo RnD Solutions,02-08-2023,GET,Level 4 - Core (Placement),4.76 LPA,60%,78,13
zoom Rx,11-10-2023,Associate,Level 4 - Dream (Placement),0 LPA,60%,60,3072
Zorang,18-01-2024,Associate Developer (Backend)/(Frontend)/(Mobile App Developer),Level 4 - Dream (Placement),7.00 LPA,60%,2051,1
ZSAssociatesIndia Pvt. Ltd.,23-07-2023,DAA / BTSA,Level 2 - Marquee (Placement),15.00 LPA,70%,2858,66
ZTT India,17-05-2024,GET,Level 4 - Core (ILP),6.00 LPA,70%,225,2
Zuper,25-01-2024,Full Stack Developer,Level 4 - Dream (Placement),8.00 LPA,60%,672,1
