Company Name,Date of Visit,Role,Category,CTC,Eligibility Percentage,Student Applied,Student Selected
Quantiphi,17-08-2024,Machine Learning Engineer, Business Analyst Sales Engineer,Level 4 - Dream (ILP),8.5 LPA,75,2726,7
Quest Global,06-09-2024,Trainee Engineer,Level 4 - Core,3.75LPA,60%,98,1
QuGates Technologies,10-06-2025,Full Stack Developer/Android &iOS Developer,Level 6 - IT / Non- Engineering (ILP),3 - 5 Lpa,60%,902,1
Ramco systems,16-01-2025,Full Stack Developer,Level 4 - Dream,500000 per year,60%,1403,1
Rapyuta Robotics,15-04-2024,Robotics Software Engineer,Level 2 - Marquee (ILP),CTC 7-12 LPA; STIPEND - 50K PER MONTH,60% or 6 CGPA Throughout,326,4
RateBotAi,19-10-2024,Business Development Associate,Level 6 - IT / Non- Engineering (ILP),7 LPA,60,3365,16
RateBotAi,12-03-2025,Business Development Associate,Level 6 - IT / Non- Engineering (ILP),7 lpa,60%,1081,1
RDC Concrete (India) Pvt Ltd,08-01-2025,Graduate Engineer Trainee,Level 6 - IT / Non- Engineering,360000 per year,65%,40,1
Red bus,28-07-2024,GET,Level 3 - Super Dream,10 LPA,70%,2970,2
Relanto Global Pvt Ltd,20-01-2025,Software Engineer (Salesforce) / Data Engineer/Data Scientist,Level 4 - Dream (ILP),6.5 Lpa,60%,2156,2
Reliance Industries Limited,18-10-2024,GET,Level 4 - Dream,7.5LPA,60%,229,1
Renault Nissan Tech,01-09-2024,GET / PGET,Level 4 - Dream,5.25-6LPA,70%,2389,13
RNF TECHNOLOGIES,24-12-2024,Management Trainee - DM Sales,Level 6 - IT / Non- Engineering (ILP),6 LPA,60%,162,6
Roche,20-08-2024,Associate,Level 3 - Super Dream,9.75 LPA,60%,1164,6
Royal Enfield,12-12-2024,GET,Level 4 - Dream (Placement),468750 - 600000 per year,70%,729,1
Royal Enfield,20-02-2025,PGET,Level 4 - Core (Placement),6.25 - 7 lpa,70%,7,3
rtCamp,06-09-2024,Software Engineer (Trainee),Level 3 - Super Dream (ILP),10,60 %,1430,1
Sabre,04-07-2024,Software Engineer I (Development),Level 3 - Super Dream (ILP),16.84 LPA,7 CGPA or more,1984,7
Samsung Electromechanisam,24-06-2024,Machine Learning Engineer/C# .Net Developer /UI/UX Developer /C++ Developer (VC++ MFC)/Java & android /Kubernetes Administrator/QC Automation Engineer/Machine Learning Test Engineer (QCML)/DevOps Engi,Level 4 - Dream,800000 - 1100000,10th,12th,CGPA - 70%,1603,1
Samsung Prism,21-09-2024,Developer,Level 2 - Marquee (ILP),20 LPA,60%,1,1
Sancraft Industries Pvt. Ltd,19-03-2025,GET,Level 4 - Core (Placement),3 lpa,70%,124,3
Sanmina,02-08-2024,GET,Level 4 - Core,600000,7 CGPA OR 70 %,363,4
SAP Labs India,01-05-2024,INTERN,Level 3 - Super Dream (ILP),Stipend:  35k per month; CTC:10-15 LPA,60 % OR 6 CGPA,5,5
SAP Labs India,22-02-2025,INTERN,Level 7 - Regular Internship,Rs.35,000/- per month,80%,80,7
Schneider Electric,09-10-2024,GET / PGET,Level 3 - Super Dream,1200000 - 1250000 LPA,65%,2639,2
Scientific Research Instruments company pvt ltd,07-04-2025,GET,Level 4 - Core (Placement),3 LPA,70%,96,6
ServiceNow,21-10-2024,INTERN,Level 7 - Regular Internship (ILP),45k,Above 7 CGPA,40,5
SHELL,09-01-2025,Data Science Intern – Digital Process Twin,Level 3 - Super Dream (ILP),11 lpa,60%,2441,1
SHM Group,24-01-2025,GET,Level 4 - Core (Placement),4 lpa,60%,352,2
Siemens Limited,04-04-2025,GET,Level 4 - Dream (ILP),5 lpa,60%,486,7
Siemens Limited,15-09-2023,Intern,Level 4 - Dream,10K per month,70%,1607,29
Siemens Limited,01-02-2025,Intern,Level 7 - Regular Internship,25000/- per month,60%,686,2
SLB (Cameron Manufacturing India Pvt Ltd),27-01-2025,GET,Level 4 - Core (ILP),8 lpa,60%,74,1
SMCC Construction India Ltd,07-01-2025,GET,Level 4 - Core (Placement),5.5 lpa,60%,35,4
Sobha constructions,25-07-2024,FTE,Level 3 - Super Dream (Placement),13 LPA,70 % -10th & 12th 7.8 CGPA - UG,119,1
Societe Generale,13-08-2024,Software Engineer & System Engineer,Level 4 - Dream (ILP),5.4,70 % in all,2041,26
Sophos Technologies Pvt Ltd,13-08-2024,MDR Internship,Level 4 - Core,850000,10th,12th ,CGPA 7 OR 70 %,310,12
SRI CHAITANYA EDUCATIONAL INSTITUTIONS,05-02-2025,Assistant Lecturer,Level 6 - IT / Non- Engineering (Placement),4 Lpa,60%,404,6
SRM Technologies,13-08-2024,Intern - Full stack Development, Service now Developers and Data Analytics ,Level 7 - Regular Internship,5000 per month,60%,546,4
Standard Chartered Global Business Services Private Limited,27-08-2024,Graduate Development Engineer / Techno Banker,Level 4 - Dream (Placement),8.25,7 CGPA OR 70 %,2857,6
Star Health,15-05-2024,Software Engineer,Level 4 - Dream,5-6LPA,60%,667,2
State Street Corporation,17-09-2024,Technology Internship Program,Level 4 - Dream,8.6LPA,60%,3308,10
Stellantis,21-07-2024,INTERN,Level 7 - Regular Internship (ILP),20K per month,60,1361,8
Stratbeans Consulting,14-10-2024,Business Analyst / Software Developer,Level 4 - Dream,450000 - 750000 per year,70%,1579,1
Syrma SGS,18-01-2025,Graduate Interns,Level 4 - Dream (ILP),6 lpa,75%,1349,3
Tata Advanced Systems Limited,11-01-2025,GET,Level 4 - Core (Placement),5 lpa,60%,98,2
Tata Consultancy Services,06-01-2025,GET/PGET,Level 5 - Day 1/ Day2 (Placement),3-11 LPA,60%,5857,1168
Tata Consulting Engineers,09-01-2025,Engineer Trainee,Level 4 - Dream (Placement),5 lpa,60%,16,1
TATA Technologies,19-12-2024,GET,Level 4 - Core (Placement),6.5 LPA,60%,49,5
TECEZE,14-12-2024,GET,Level 6 - IT / Non- Engineering (ILP),4-6 LPA,60%,574,13
Techvantage.ai,26-03-2025,Intern Software Engineer – AI,Level 4 - Dream (ILP),4-6 LPA,70%,709,1
Think41,23-01-2025,Full Stack Engineer,Level 4 - Dream (ILP),6 lpa,60%,1784,1
Tiger Analytics,01-12-2024,Trainee - Analyst,Level 4 - Dream,8.5 LPA,70%,2341,8
TMRW,17-07-2024,Analyst Intern , Data Engineer Intern , Software Development Intern (backend), Software Development Intern (Frontend),Level 3 - Super Dream,10,6 CGPA OR 60 %,2495,5
Tonik Bank,11-01-2025,Java Full Stack Developer,Level 4 - Dream (ILP),6-7 lpa,85%,289,2
Torrent Gas Private Limited,22-11-2024,GET,Level 4 - Core (Placement),5.1 LPA,60,89,4
Toshiba,21-08-2024,Trainee Engineer,Level 3 - Super Dream (Placement),10.05 LPA,7 CGPA OR 70 %,1966,2
To The New,10-12-2024,Data Engineering Trainee/ DevOps,Level 4 - Dream (ILP),6 LPA,60%,183,2
To The New,07-01-2025,Quality Engineering,Level 6 - IT / Non- Engineering (ILP),4.5 LPA,60%,191,2
Tredence Analytics Solutions Pvt. Ltd.,20-08-2024,ANALYST,Level 3 - Super Dream,10LPA,70%,3401,9
TRIMBLE,27-11-2024,Associate TechOps Engineer,Level 4 - Dream (ILP),7 LPA,70,1682,3
TRUESTATE,19-12-2024,Key Account Manager Intern,Level 6 - IT / Non- Engineering (ILP),8 lpa,60%,1281,5
TVS motors,24-06-2024,Digital Engineer / Data Analyst / Data Engineer,Level 4 - Dream (ILP),9 LPA,60%,1965,4
TVS motors,21-01-2025,Team Leader Production,Level 4 - Core (Placement),8 lpa,60%,60,3
TWILIO,09-12-2024,Sr. Early Career Recruiter,Level 2 - Marquee (Placement),22.9 LPA,70%,386,3
UiPath,08-08-2024,Product support Intern,Level 3 - Super Dream,17 LPA,80 %,426,1
Unicommerce,09-01-2025,Business Development Associate , Lead Generation Executive,Level 6 - IT / Non- Engineering (ILP),5.2 lpa,60%,1238,97
Unicommerce,18-02-2025,Intern,Level 6 - IT / Non- Engineering (ILP),4.8 lpa,60%,645,1
UNO Minda,25-09-2024,GET,Level 4 - Dream,5.5 LPA,60%,517,13
UST,24-09-2024,GET,Level 6 - IT / Non- Engineering,4.25 LPA,60%,2550,11
Valeo,25-01-2025,INTERN,Level 6 - IT / Non- Engineering,15000 per month,75%,655,1
Valeo,08-01-2025,INTERN,Level 6 - IT / Non- Engineering,15000 - 20000 per month,75%,538,1
ValueLabs,27-06-2024,TECHNICAL CONSULTANT,Level 2 - Marquee (ILP),STIPEND : 50000 per month; CTC: 22 LPA,85 % OR 8.5 CGPA,854,5
Varroc Group,31-08-2024,GET,Level 3 - Super Dream (Placement),11.05,85 % -10th 75 % - 12th Current CGPA : 7 CGPA,357,4
VA Tech Wabag,03-01-2025,PGET,Level 4 - Core (Placement),6.5 lpa,65%,18,2
VEDANTU,10-12-2024,Master Teacher Trainee,Level 6 - IT / Non- Engineering (ILP),5-6 lpa,60%,973,2
Verizon,22-06-2025,GET,Level 4 - Dream (Placement),6.6 LPA,70%,670,22
Verizon,30-11-2024,Servicenow,Level 4 - Dream (Placement),8.4 LPA,60,1,1
Virtusa,06-01-2025,Associate Engineer,Level 1 - International (ILP),48 Lpa,60%,5,1
Visa,10-03-2025,Systems Engineer / Software Test Engineer,Level 2 - Marquee (Placement),31.6 lpa,80%,403,2
Visteon Corporation,05-08-2024,Software Engineer,Level 4 - Dream,7LPA,70%,2546,11
Volante Technologies,23-09-2024,Software Engineer,Level 4 - Dream,5-7 LPA,60%,98,12
Volvo,03-09-2024,Associate Graduate Engineer / Associate Post Graduate Engineer,Level 4 - Dream (ILP),Stipend: 40000 p.m. / CTC: 7.5 LPA,65 % IN ALL,3231,6
Volvo,24-04-2024,PG Intern,Level 7 - Regular Internship,40000 per month,6.5 CGPA OR 65 %,5,1
Wabtec,05-09-2024,Intern,Level 4 - Core,980000,6 CGPA OR 60 %,97,3
Wabtec Corporation,31-08-2024,Internship,Level 3 - Super Dream (ILP),10.84,6 CGPA OR 60 %,47,1
Warner Bros Discovery,31-08-2024,Data Engineering/Analytics Intern,Level 3 - Super Dream (ILP),15,7.5 CGPA OR 75 %,253,2
Wells Fargo,22-03-2024,INTERN,Level 7 - Summer Internship,90000 K per month,-,1243,10
WellsFargo,08-09-2023,Program Associate(FTE)- Technology,Level 2 - Marquee,90K per month,75%,1243,10
WESTERN DIGITAL,07-01-2024,Frimware Developer,Level 7 - Summer Internship,35K per month,9 CGPA in UG,2468,2
Xperi INC,19-06-2024,INTERN - SOFTWARE ENGINEER,Level 3 - Super Dream (ILP),STIPEND: 50Kper month; CTC:14-16LPA,80% in 10th, 12th & 8 CGPA in Current Course,1585,2
Yamaha Motors India,16-12-2024,GET,Level 4 - Core,7.5 LPA,65%,127,4
Yubi,09-01-2025,Delivery Engineer,Level 4 - Dream (ILP),8.48 LPA,60%,1724,7
ZETA,12-12-2024,SDE INTERN,Level 3 - Super Dream (ILP),12-14 LPA,80%,1224,3
ZF Group,20-08-2024,PGET,Level 4 - Dream (ILP),9.25,6 CGPA OR 60 %,41,2
ZOOM INFO,31-07-2024,Software Engineer Intern,Level 3 - Super Dream (ILP),10.0 - 12.0,8 CGPA OR 80 %,1669,3
zoom Rx,24-02-2025,Community Associate,Level 4 - Dream (Placement),7.2 lpa,70%,1259,2
ZS Associates,30-07-2024,Decision Analytics Associate (DAA) / Business Technology Solutions Analyst (BTSA),Level 3 - Super Dream (Placement),15 LPA,70%,3415,25
